"campaign","acceptance_rate"
"AcceptedCmp1","6.428571428571428"
"AcceptedCmp2","1.3392857142857142"
"AcceptedCmp3","7.276785714285714"
"AcceptedCmp4","7.455357142857142"
"AcceptedCmp5","7.276785714285714"
"Response","14.910714285714285"
